"Country_Name","Country_Code","Avg_Revenue","Min_Max_Normalized","Z_Score_Normalized"
"India","IND",22757333333.3333,0.112233515153887,0.934056003139897
"Ireland","IRL",1.0991e+10,0.0541987898353302,0.264724996687697
"Iran, Islamic Republic of","IRN",3810444444.44444,0.0187823557181057,-0.143742819133086
"Iraq","IRQ",2181727272.72727,0.0107490839243815,-0.236392829368908
"Israel","ISR",6446727272.72727,0.0317852127226742,0.00622283191203169
"Italy","ITA",42421333333.3333,0.209221659747,2.05264788202112
"Jamaica","JAM",2077500000,0.0102350069411727,-0.24232182554622
"Jordan","JOR",4974363636.36364,0.0245231186798916,-0.0775329658095095
"Japan","JPN",2.594e+10,0.127931284420483,1.11510284439902
"Kazakhstan","KAZ",1991545454.54545,0.00981105597072006,-0.247211372764405
"Kenya","KEN",1.722e+09,0.00848158518553541,-0.2625445377585
