Country.Name,Country.Code,Land_Area,Avg_Revenue
Sub-Saharan Africa (IDA & IBRD countries),TSS,23890863.09,0.0
Trinidad and Tobago,TTO,5130.0,660909090.909091
Tunisia,TUN,155360.0,2382636363.63636
Turkiye,TUR,769630.0,32029181818.1818
Tuvalu,TUV,30.0,2475000.0
Tanzania,TZA,885800.0,1982950000.0
Uganda,UGA,200520.0,1040090909.09091
Ukraine,UKR,579400.0,3203636363.63636
Upper middle income,UMC,54869206.47,0.0
Uruguay,URY,175020.0,2305000000.0
United States,USA,9147420.0,202748818181.818
Uzbekistan,UZB,440653.0,878571428.571429
St. Vincent and the Grenadines,VCT,390.0,199614286.150251
"Venezuela, RB",VEN,882050.0,803000000.0
British Virgin Islands,VGB,150.0,423166666.666667
Virgin Islands (U.S.),VIR,350.0,1147363636.36364
Viet Nam,VNM,313429.0,7413818181.81818
Vanuatu,VUT,12190.0,260181818.181818
World,WLD,129777684.1,0.0
Samoa,WSM,2780.0,142841816.468672
Kosovo,XKX,,0.0
"Yemen, Rep.",YEM,527970.0,819142857.142857
South Africa,ZAF,1213090.0,9308272727.27273
Zambia,ZMB,743390.0,0.0
Zimbabwe,ZWE,386850.0,175181818.181818
